State | Easternmost Zip | Westernmost Zip | Northernmost Zip | Southernmost Zip
---------------------------------------------------------------
AP | 96337 96208 
UT | 84621 
NE | 68924 
TX | 76624 
KS | 66403 
VA | 24054 
NC | 28513 27916 
MA | 1432 
VA | 23009 
SC | 29511 
ND | 58007 
NE | 68925 
IA | 50515 
OR | 97410 
MI | 48110 
TX | 76020 76098 
NM | 87410 
CA | 91702 
MT | 59411 
MN | 55706 
WI | 54413 
FL | 33827 
MA | 2457 
NY | 11702 
MN | 56435 
TX | 77518 
GA | 31716 
VA | 24412 
MI | 48413 
PA | 15005 
IA | 50516 
MN | 56714 
SD | 57214 
CA | 93603 
NC | 28009 
AZ | 86321 
FL | 32530 
KY | 40003 
WY | 82321 
MN | 56621 
IA | 50026 
WI | 53801 
TX | 75412 
NC | 27503 
MS | 39320 
CO | 80421 
TX | 75413 
NC | 27807 
MI | 49303 
ME | 4003 
WI | 54202 
AL | 35019 
IL | 61007 
ME | 4694 
KS | 66404 
OH | 45612 
GA | 39819 
IN | 46105 
NY | 13733 
PA | 17502 
GA | 39817 39818 
WA | 98110 
MT | 59212 
TX | 79504 
PA | 15006 
WY | 82322 
WV | 25608 
LA | 70714 70704 
NV | 89311 
WV | 26801 
FL | 32531 
CA | 92309 
MT | 59313 
OR | 97814 
NY | 12811 
CA | 93313 93303 93314 93380 93383 
MO | 65609 
CA | 93384 93385 93386 93387 93388 93389 93390 93312 
VT | 5441 
CA | 93302 93304 93305 93306 93307 93301 93308 93309 93311 
PA | 15007 
NC | 28705 
OH | 43803 
WV | 25410 
TN | 37304 
PA | 19004 
MN | 56115 
TX | 75180 
AR | 72010 
IA | 52207 
LA | 70514 
NY | 11510 
